table_name,column_name,data_type,is_nullable,column_default
deliveries,id,uuid,NO,gen_random_uuid()
deliveries,user_id,uuid,NO,null
deliveries,route_id,uuid,NO,null
deliveries,source_facility_id,uuid,NO,null
deliveries,destination_storage_id,uuid,NO,null
deliveries,vehicle_id,text,NO,null
deliveries,h2_amount_kg,numeric,NO,null
deliveries,status,text,YES,'assigned'::text
deliveries,eta,timestamp with time zone,YES,null
deliveries,started_at,timestamp with time zone,YES,null
deliveries,completed_at,timestamp with time zone,YES,null
deliveries,created_at,timestamp with time zone,YES,now()
deliveries,updated_at,timestamp with time zone,YES,now()
production_facilities,id,uuid,NO,gen_random_uuid()
production_facilities,user_id,uuid,NO,null
production_facilities,name,text,NO,null
production_facilities,location,text,NO,null
production_facilities,electrolyzer_type,text,NO,null
production_facilities,capacity_kg_per_day,numeric,NO,null
production_facilities,energy_source_id,uuid,YES,null
production_facilities,efficiency_percent,numeric,YES,70
production_facilities,status,text,YES,'operational'::text
production_facilities,commissioned_date,date,YES,null
production_facilities,created_at,timestamp with time zone,YES,now()
production_facilities,updated_at,timestamp with time zone,YES,now()
production_facilities,available_h2_kg,numeric,YES,0
production_records,id,uuid,NO,gen_random_uuid()
production_records,facility_id,uuid,NO,null
production_records,production_date,date,NO,null
production_records,hydrogen_produced_kg,numeric,NO,null
production_records,energy_consumed_kwh,numeric,NO,null
production_records,water_consumed_liters,numeric,YES,null
production_records,efficiency_percent,numeric,YES,null
production_records,carbon_offset_kg,numeric,YES,null
production_records,operating_hours,numeric,YES,null
production_records,notes,text,YES,null
production_records,created_at,timestamp with time zone,YES,now()
profiles,id,uuid,NO,null
profiles,email,text,NO,null
profiles,full_name,text,YES,null
profiles,organization,text,YES,null
profiles,role,text,YES,'operator'::text
profiles,avatar_url,text,YES,null
profiles,created_at,timestamp with time zone,YES,now()
profiles,updated_at,timestamp with time zone,YES,now()
profiles,admin_status,text,YES,null
renewable_sources,id,uuid,NO,gen_random_uuid()
renewable_sources,user_id,uuid,NO,null
renewable_sources,name,text,NO,null
renewable_sources,location,text,NO,null
renewable_sources,source_type,text,NO,null
renewable_sources,capacity_mw,numeric,NO,null
renewable_sources,capacity_factor,numeric,YES,0.25
renewable_sources,current_output_mw,numeric,YES,0
renewable_sources,uptime_percent,numeric,YES,100
renewable_sources,energy_produced_kwh,numeric,YES,0
renewable_sources,status,text,YES,'operational'::text
renewable_sources,weather_dependent,boolean,YES,true
renewable_sources,installation_date,date,YES,null
renewable_sources,created_at,timestamp with time zone,YES,now()
renewable_sources,updated_at,timestamp with time zone,YES,now()
research_papers,id,uuid,NO,gen_random_uuid()
research_papers,title,text,NO,null
research_papers,authors,ARRAY,NO,null
research_papers,publication_year,integer,YES,null
research_papers,journal,text,YES,null
research_papers,doi,text,YES,null
research_papers,abstract,text,YES,null
research_papers,keywords,ARRAY,YES,null
research_papers,category,text,NO,null
research_papers,pdf_url,text,YES,null
research_papers,relevance_score,numeric,YES,null
research_papers,citation_count,integer,YES,0
